-11.45,20.56,0.00,339.33,0,0
-11.73,20.48,0.00,340.90,0,0
-1.29,20.33,0.00,335.75,0,0
-1.03,20.42,0.00,265.41,0,0
-0.24,17.93,0.00,265.97,0,0
-0.52,16.32,0.00,247.68,0,0
-1.16,11.62,0.00,240.27,0,0
-0.41,10.84,0.00,221.24,0,0
-0.45,10.74,0.00,218.44,0,0
-0.46,10.70,0.00,209.08,0,0
-0.48,10.66,0.00,195.11,0,0
-0.55,10.61,0.00,187.64,0,0
-0.61,10.57,0.00,184.04,0,0
-0.66,10.51,0.00,171.21,0,0
-0.73,10.46,0.00,164.16,0,0
-0.87,10.42,0.00,158.96,0,0
-1.06,10.38,0.00,152.31,0,0
-1.26,10.38,0.00,149.35,0,0
-1.64,10.35,0.00,158.06,0,0
-1.89,10.39,0.00,156.13,0,0
-2.12,10.32,0.00,165.23,0,0
-2.50,10.25,0.00,173.09,0,0
-2.87,10.09,0.00,168.49,0,0
-3.15,9.95,0.00,176.39,0,0
-3.48,9.75,0.00,178.66,0,0
-3.86,9.47,0.00,183.91,0,0
-4.04,9.29,0.00,181.72,0,0
-4.23,9.06,0.00,186.23,0,0
-4.31,8.97,0.00,194.12,0,0
-4.41,8.72,0.00,194.52,0,0
-4.50,8.40,0.00,196.96,0,0
-4.60,8.19,0.00,192.77,0,0
-4.72,8.05,0.00,190.79,0,0
-4.79,7.98,0.00,210.75,0,0
-4.81,7.87,0.00,197.05,0,0
-4.87,7.71,0.00,207.05,0,0
-4.90,7.46,0.00,211.56,0,0
-4.92,7.28,0.00,206.69,0,0
-4.97,7.06,0.00,207.33,0,0
-4.99,6.81,0.00,214.75,0,0
-5.02,6.10,0.00,212.11,0,0
-5.08,5.31,0.00,213.55,0,0
-5.08,4.64,0.00,206.63,0,0
-5.07,4.55,0.00,165.83,0,0
-5.43,4.16,0.00,146.05,0,0
-5.65,4.10,0.00,179.58,0,0
-5.69,4.03,0.00,197.64,0,0
-5.70,3.94,0.00,200.17,0,0
-5.73,3.79,0.00,172.30,0,0
-5.80,3.67,0.00,154.35,0,0
-5.88,3.60,0.00,134.16,0,0
-6.13,3.49,0.00,119.82,0,0
-6.29,3.45,0.00,111.92,0,0
-7.06,3.47,0.00,111.76,0,0
-8.34,3.50,0.00,106.36,0,0
-8.45,3.49,0.00,106.59,0,0
-8.70,3.47,0.00,101.95,0,0
-8.95,3.48,0.00,104.06,0,0
-9.14,3.46,0.00,109.12,0,0
-9.41,3.45,0.00,110.38,0,0
-9.74,3.44,0.00,125.40,0,0
-10.20,3.30,0.00,139.03,0,0
-10.39,3.16,0.00,143.39,0,0
-10.60,2.99,0.00,117.98,0,0
-12.05,2.82,0.00,113.05,0,0
-12.57,2.58,0.00,16.48,0,0
-12.72,7.89,0.00,38.37,0,0
-12.67,9.18,0.00,45.64,0,0
-12.67,10.74,0.00,47.43,0,0
-12.69,12.17,0.00,51.10,0,0
-12.35,12.51,0.00,355.44,0,0
-12.04,12.70,0.00,17.17,0,0
-11.92,12.90,0.00,43.47,0,0
-11.95,13.15,0.00,81.83,0,0
-12.03,13.26,0.00,114.51,0,0
-12.11,13.29,0.00,129.74,0,0
-12.57,13.37,0.00,136.48,0,0
-12.72,13.48,0.00,69.44,0,0
-12.81,13.77,0.00,56.68,0,0
-12.76,14.93,0.00,52.76,0,0
-12.73,16.14,0.00,50.15,0,0
-12.62,17.64,0.00,48.42,0,0
-12.62,19.14,0.00,47.29,0,0
-9.05,12.45,0.00,199.05,0,0
-8.97,12.16,0.00,218.30,0,0
-9.03,12.13,0.00,222.10,0,0
-9.16,12.19,0.00,240.43,0,0
-9.15,11.92,0.00,250.74,0,0
-8.95,11.60,0.00,261.92,0,0
-8.85,11.53,0.00,299.69,0,0
-8.61,11.47,0.00,298.80,0,0
-8.31,11.47,0.00,317.11,0,0
-8.12,11.45,0.00,334.66,0,0
-8.07,11.43,0.00,349.93,0,0
-7.69,11.09,0.00,346.26,0,0
-7.62,11.12,0.00,23.19,0,0
-7.55,11.24,0.00,26.26,0,0
-7.46,11.49,0.00,33.77,0,0
-7.36,11.89,0.00,47.34,0,0
-7.43,12.15,0.00,68.05,0,0
-7.48,12.31,0.00,92.57,0,0
-7.73,12.59,0.00,97.95,0,0
-7.83,12.65,0.00,116.23,0,0
-8.10,12.79,0.00,121.12,0,0
-8.10,12.76,0.00,144.21,0,0
-8.44,12.73,0.00,156.88,0,0
-8.73,12.63,0.00,173.20,0,0
-8.80,12.58,0.00,171.89,0,0
